Date,Open,High,Low,Close,Adj Close,Volume
2022-03-10,17.299999,17.950001,16.260000,17.160000,17.160000,4146600
2022-03-11,17.190001,17.584999,16.360001,16.540001,16.540001,2452400
2022-03-14,16.740000,17.889999,16.139999,16.150000,16.150000,3145900
2022-03-15,16.200001,16.629000,15.750000,16.450001,16.450001,2267500
2022-03-16,16.799999,18.340000,16.799999,18.299999,18.299999,4020300
2022-03-17,18.049999,19.670000,17.959999,18.900000,18.900000,3551200
2022-03-18,18.650000,19.620001,18.440001,19.610001,19.610001,3950600
2022-03-21,19.600000,20.709000,18.879999,19.600000,19.600000,3042800
2022-03-22,19.650000,20.844999,19.410000,20.520000,20.520000,2067900
2022-03-23,20.290001,21.600000,20.000000,20.670000,20.670000,2200500
2022-03-24,21.650000,21.980000,20.490000,21.330000,21.330000,2456900
2022-03-25,21.400000,21.730000,20.400000,20.850000,20.850000,1876800
2022-03-28,20.940001,21.670000,20.080000,20.760000,20.760000,1735600
2022-03-29,21.209999,22.309999,20.690001,22.090000,22.090000,2143500
2022-03-30,21.889999,22.559999,21.510000,22.020000,22.020000,2935300
2022-03-31,22.020000,22.209999,21.261000,21.520000,21.520000,1516600
2022-04-01,21.556000,22.440001,21.384001,22.389999,22.389999,2042800
2022-04-04,22.580000,23.290001,22.400000,23.190001,23.190001,1537300
2022-04-05,23.250000,23.270000,22.420000,22.520000,22.520000,1952500
2022-04-06,22.190001,22.610001,21.309999,22.570000,22.570000,2192900
2022-04-07,22.879999,23.930000,21.785000,22.309999,22.309999,2592000
2022-04-08,21.959999,22.080000,21.299999,21.469999,21.469999,1133500
2022-04-11,21.110001,21.650000,20.799999,21.209999,21.209999,1196400
2022-04-12,21.520000,21.930000,20.170000,20.290001,20.290001,1582700
2022-04-13,20.180000,20.840000,20.120001,20.209999,20.209999,1487600
2022-04-14,20.160000,20.278000,19.180000,19.450001,19.450001,2068800
2022-04-18,19.420000,19.448000,18.100000,18.370001,18.370001,1892400
2022-04-19,18.430000,19.070000,17.830000,18.530001,18.530001,2323300
2022-04-20,18.580000,18.650000,17.610001,17.690001,17.690001,1620400
2022-04-21,17.879999,17.900000,16.389999,16.770000,16.770000,2797400
2022-04-22,16.709999,17.035000,15.470000,15.850000,15.850000,3525400
2022-04-25,15.810000,16.639999,15.750000,16.240000,16.240000,3329400
2022-04-26,16.770000,16.910000,15.935000,16.139999,16.139999,3077000
2022-04-27,16.010000,16.379999,15.420000,15.790000,15.790000,1722900
2022-04-28,16.100000,16.355000,15.380000,16.250000,16.250000,1480300
2022-04-29,16.100000,16.580000,15.650000,15.660000,15.660000,1439000
2022-05-02,15.580000,16.160000,15.500000,16.139999,16.139999,1262700
2022-05-03,16.160000,16.290001,15.540000,16.000000,16.000000,1682300
2022-05-04,16.110001,16.549999,15.160000,16.490000,16.490000,2151800
2022-05-05,16.299999,16.299999,14.751000,15.150000,15.150000,2171400
2022-05-06,15.000000,15.000000,13.880000,14.130000,14.130000,2496900
2022-05-09,13.800000,13.970000,12.555000,12.990000,12.990000,3757500
2022-05-10,13.270000,13.790000,12.550000,13.340000,13.340000,3776300
2022-05-11,13.100000,13.550000,12.215000,12.330000,12.330000,3300500
2022-05-12,12.000000,13.210000,11.670000,12.850000,12.850000,7085900
2022-05-13,9.445000,10.350000,9.230000,9.640000,9.640000,22422400
2022-05-16,9.475000,9.860000,9.250000,9.670000,9.670000,8235200
2022-05-17,9.840000,10.380000,9.770000,10.180000,10.180000,6437400
2022-05-18,10.000000,10.030000,9.190000,9.310000,9.310000,4293700
2022-05-19,9.240000,9.350000,9.010000,9.020000,9.020000,5755300
2022-05-20,9.200000,9.200000,8.635000,8.900000,8.900000,5281300
2022-05-23,9.000000,9.050000,8.420000,8.680000,8.680000,4393600
2022-05-24,8.520000,8.680000,8.140000,8.470000,8.470000,6323000
2022-05-25,8.390000,8.760000,8.270000,8.760000,8.760000,3974700
2022-05-26,8.800000,9.255000,8.800000,8.850000,8.850000,5129700
2022-05-27,8.980000,9.300000,8.960000,9.260000,9.260000,3678400
2022-05-31,9.220000,9.460000,8.700000,8.900000,8.900000,3836400
2022-06-01,9.020000,9.170000,8.465000,8.590000,8.590000,3024200
2022-06-02,8.550000,9.270000,8.550000,9.160000,9.160000,3447900
2022-06-03,8.940000,8.990000,8.490000,8.560000,8.560000,2582300
2022-06-06,8.760000,8.980000,8.250000,8.460000,8.460000,3110200
2022-06-07,8.250000,8.430000,7.965000,8.420000,8.420000,2987900
2022-06-08,8.390000,8.730000,8.300000,8.520000,8.520000,2898400
2022-06-09,8.440000,8.630000,8.130000,8.140000,8.140000,3126100
2022-06-10,7.940000,8.100000,7.595000,7.760000,7.760000,3514500
2022-06-13,7.410000,7.535000,7.080000,7.120000,7.120000,3407700
2022-06-14,7.100000,7.268000,6.934000,7.210000,7.210000,2970200
2022-06-15,7.410000,8.008000,7.380000,7.780000,7.780000,2980300
2022-06-16,7.450000,7.580000,6.970000,7.190000,7.190000,4327800
2022-06-17,7.250000,7.685000,7.221000,7.390000,7.390000,5779500
2022-06-21,7.550000,7.850000,7.430000,7.430000,7.430000,3835300
2022-06-22,7.290000,7.690000,7.270000,7.340000,7.340000,2827400
2022-06-23,7.420000,7.900000,7.290000,7.880000,7.880000,3065200
2022-06-24,7.990000,8.600000,7.975000,8.450000,8.450000,17426300
2022-06-27,8.410000,8.520000,8.140000,8.200000,8.200000,3236700
2022-06-28,8.340000,8.600000,7.960000,8.090000,8.090000,2435400
2022-06-29,8.070000,8.580000,7.980000,8.290000,8.290000,3996900
2022-06-30,8.580000,9.440000,8.420000,9.110000,9.110000,7423700
2022-07-01,9.010000,9.640000,8.880000,9.380000,9.380000,4186400
2022-07-05,9.130000,9.565000,9.040000,9.430000,9.430000,3361400
2022-07-06,9.400000,9.740000,9.330000,9.580000,9.580000,3019600
2022-07-07,9.650000,10.000000,9.580000,9.930000,9.930000,2604900
2022-07-08,9.850000,10.185000,9.630000,9.930000,9.930000,1745000
2022-07-11,9.800000,9.970000,9.410000,9.480000,9.480000,1313700
